"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"umhlanga campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;python","postgresql","amazon web services (aws);digital ocean","","other","chatgpt","github copilot;rubber duck.ai","employed, full-time"
"midrand campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","cloud infrastructure engineer","some college/university study without earning a degree","bash/shell (all shells);c;c++;html/css;java;php;sql;visual basic (.net)","ibm db2;mariadb","cloudflare;digital ocean;google cloud;managed hosting;microsoft azure;ovh;vultr","drupal;laravel;wordpress","wholesale","chatgpt","tabnine;whispr ai","employed, full-time"
"tyger valley campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","scientist","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);matlab;python;r;sql","mariadb;microsoft access","","","retail and consumer services","","adrenaline;aws codewhisperer;github copilot;replit ghostwriter;whispr ai","employed, part-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;html/css;sql;typescript","cosmos db;h2;ibm db2;microsoft sql server;oracle","digital ocean;microsoft azure","angular","insurance","chatgpt","github copilot","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;javascript","couchbase;microsoft sql server;mongodb;postgresql","microsoft azure","asp.net core;express;lit;node.js;react","legal services","","aws codewhisperer;github copilot;replit ghostwriter","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;kotlin;scala","elasticsearch;mysql;postgresql;redis","amazon web services (aws);hetzner","play framework","wholesale","chatgpt","codeium;github copilot;synk code","employed, full-time;independent contractor, freelancer, or self-employed"
"tyger valley campus","data science","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","java;php;python;r;sql","","firebase","","information services, it, software development, or other technology","","adrenaline;github copilot;rubber duck.ai;tabnine","student, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript","microsoft sql server;sqlite","amazon web services (aws);microsoft azure","asp.net;asp.net core","legal services","chatgpt","aws codewhisperer;mintlify","employed, full-time"
"umhlanga campus","it","i am a developer by profession","senior executive (c-suite, vp, etc.)","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;go;html/css;java;javascript;julia;python;rust;sql;typescript","dynamodb;mariadb;microsoft sql server;mongodb;mysql;postgresql;redis","amazon web services (aws)","asp.net core;express;flask;next.js;node.js;react;spring boot;vue.js","legal services","chatgpt","aws codewhisperer;codeium;github copilot;mintlify","employed, full-time"
"umhlanga campus","it","i am a developer by profession","other (please specify):","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c++;groovy;html/css;javascript;powershell;python;rust","postgresql","amazon web services (aws);microsoft azure;vmware","django","retail and consumer services","","mintlify;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;f#;html/css;javascript;sql","microsoft sql server;neo4j;postgresql;redis;sqlite","amazon web services (aws);cloudflare;colocation;fly.io;hetzner;microsoft azure","asp.net core;blazor;jquery","oil & gas","bing ai;chatgpt","aws codewhisperer;github copilot;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;kotlin","mongodb","amazon web services (aws)","spring boot","other","","codeium","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, qa or test","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;java;javascript;powershell;python;typescript","dynamodb;elasticsearch;influxdb","amazon web services (aws);firebase","flask;node.js","higher education","bing ai;chatgpt","aws codewhisperer;github copilot;whispr ai","employed, full-time"
"midrand campus","it","i am a developer by profession","engineering manager","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;javascript;kotlin;typescript","cassandra;dynamodb","amazon web services (aws)","jquery;react;spring boot","manufacturing, transportation, or supply chain","chatgpt","aws codewhisperer;replit ghostwriter;rubber duck.ai;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;sql;typescript","mariadb;mysql;neo4j","","express;node.js;react","higher education","","github copilot;synk code;whispr ai","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript","cloud firestore;microsoft sql server;mongodb;mysql;postgresql;sqlite","cloudflare;firebase;google cloud;heroku;microsoft azure;netlify;vercel","asp.net;asp.net core;blazor;jquery;next.js;react;wordpress","manufacturing, transportation, or supply chain","bing ai;chatgpt;google bard ai","aws codewhisperer;codeium;github copilot","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;sql;typescript","microsoft sql server;mongodb","","nestjs;next.js;react","oil & gas","","aws codewhisperer;github copilot;tabnine;whispr ai","independent contractor, freelancer, or self-employed"
"pretoria campus","computer science","i am a developer by profession","developer, mobile","bachelor’s degree (b.a., b.s., b.eng., etc.)","kotlin;swift","","","","manufacturing, transportation, or supply chain","chatgpt","rubber duck.ai;synk code","employed, full-time;independent contractor, freelancer, or self-employed"
"pretoria campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);html/css;javascript;typescript","firebase realtime database;postgresql","firebase;google cloud","node.js;react","legal services","chatgpt","codeium;replit ghostwriter","not employed, but looking for work"
"tyger valley campus","computer science","i used to be a developer by profession, but no longer am","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);go;java;sql","bigquery;cassandra;clickhouse;mariadb;mysql;postgresql;redis","amazon web services (aws);digital ocean;google cloud;linode, now akamai;microsoft azure","spring boot","information services, it, software development, or other technology","bing ai;chatgpt;google bard ai","github copilot;synk code;tabnine","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","blockchain","master’s degree (m.a., m.s., m.eng., mba, etc.)","rust","","google cloud","","information services, it, software development, or other technology","chatgpt","github copilot;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, desktop or enterprise applications","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c#;html/css;sql;vba","cosmos db;microsoft access;microsoft sql server","microsoft azure","asp.net;asp.net core;blazor","insurance","","adrenaline;aws codewhisperer;github copilot;replit ghostwriter","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","javascript;sql;typescript","mysql;redis","amazon web services (aws);cloudflare","express;next.js;node.js;react","other","chatgpt","github copilot;mintlify","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","groovy;html/css;java;javascript;typescript","mongodb;mysql","fly.io;heroku","next.js;node.js;spring boot","manufacturing, transportation, or supply chain","","adrenaline;github copilot;rubber duck.ai;tabnine","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","some college/university study without earning a degree","html/css;java;kotlin;python","mariadb;mongodb;mysql;oracle","amazon web services (aws);google cloud","","wholesale","chatgpt","github copilot;replit ghostwriter;rubber duck.ai;tabnine","employed, part-time"
"pretoria campus","it","i am a developer by profession","developer, desktop or enterprise applications","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);go;html/css;nim;python;rust","sqlite","","elm","financial services","","aws codewhisperer;codeium;github copilot;replit ghostwriter;tabnine","independent contractor, freelancer, or self-employed"
"pretoria campus","data science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c++;matlab;python;sql","mariadb;snowflake","amazon web services (aws)","","insurance","","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, front-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;typescript","microsoft sql server","microsoft azure","asp.net;asp.net core;react","manufacturing, transportation, or supply chain","chatgpt","codeium;github copilot;synk code","employed, full-time"
"pretoria campus","data science","i used to be a developer by profession, but no longer am","project manager","master’s degree (m.a., m.s., m.eng., mba, etc.)","assembly;c;c#;c++;f#;html/css;javascript;powershell;python;rust;sql","sqlite","","asp.net","financial services","bing ai;chatgpt;wolframalpha","adrenaline;mintlify","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, mobile","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;delphi;matlab;python;sql","microsoft sql server;mysql;postgresql","amazon web services (aws);microsoft azure;oracle cloud infrastructure (oci)","","manufacturing, transportation, or supply chain","","aws codewhisperer;github copilot;replit ghostwriter;tabnine","independent contractor, freelancer, or self-employed"
"pretoria campus","data science","i am a developer by profession","developer, front-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;javascript;typescript","microsoft sql server;mongodb","amazon web services (aws);firebase;heroku","express;node.js;react","retail and consumer services","chatgpt","codeium;synk code;whispr ai","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;php;typescript","mariadb;mysql;postgresql","","jquery;laravel;svelte;vue.js","retail and consumer services","","rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c;c#;c++;java;javascript;kotlin","","","","healthcare","chatgpt","aws codewhisperer;codeium;tabnine;whispr ai","employed, full-time"
"tyger valley campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","devops specialist","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells)","mongodb","amazon web services (aws)","","higher education","chatgpt","adrenaline;aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","it","i used to be a developer by profession, but no longer am","designer","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;javascript;typescript","postgresql","hetzner","django;react","manufacturing, transportation, or supply chain","chatgpt","replit ghostwriter;tabnine","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","apex;bash/shell (all shells);c#;java","mariadb;mysql;postgresql","","spring boot","other","chatgpt","mintlify","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, back-end","some college/university study without earning a degree","c#;dart;rust;sql","cassandra;elasticsearch;mariadb;mongodb;postgresql;redis;sqlite","firebase;microsoft azure","asp.net core;blazor","insurance","chatgpt","github copilot;replit ghostwriter;tabnine","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, embedded applications or devices","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c;c++;python","","","","wholesale","","adrenaline;github copilot;synk code","independent contractor, freelancer, or self-employed;employed, part-time"
"midrand campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","swift","firebase realtime database","google cloud","angularjs","legal services","chatgpt;google bard ai","adrenaline;codeium;github copilot","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","devops specialist","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c#;c++","","","","insurance","bing ai;chatgpt","synk code;tabnine;whispr ai","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, front-end","something else","bash/shell (all shells);html/css;javascript;typescript","","","node.js","information services, it, software development, or other technology","","codeium;tabnine","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);c;c#;c++;gdscript;html/css;java;javascript;lua;php;python;ruby;sql;typescript","mysql;oracle","","","other","","codeium;github copilot","employed, full-time;student, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, desktop or enterprise applications","bachelor’s degree (b.a., b.s., b.eng., etc.)","delphi;html/css;java;javascript;sql","firebase realtime database;oracle","","angular;angularjs;node.js","retail and consumer services","","adrenaline;github copilot;rubber duck.ai","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","other (please specify):","some college/university study without earning a degree","c++;javascript","","google cloud","","higher education","chatgpt","rubber duck.ai;synk code","employed, full-time;student, full-time"
"pretoria campus","data science","i am learning to code","","primary/elementary school","c++;html/css;python","mysql;postgresql","render","django;flask","oil & gas","","aws codewhisperer;github copilot;synk code;tabnine;whispr ai","i prefer not to say"
"midrand campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","java;javascript;python;sql","cloud firestore;mysql;postgresql;sqlite","amazon web services (aws);cloudflare;digital ocean;firebase;google cloud","angular;angularjs;django;vue.js","retail and consumer services","bing ai;chatgpt;you.com","codeium;tabnine","independent contractor, freelancer, or self-employed"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript","cosmos db;elasticsearch;mysql","amazon web services (aws);microsoft azure","asp.net core;next.js;react","financial services","chatgpt","aws codewhisperer;github copilot;synk code","employed, full-time"
"umhlanga campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","devops specialist","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c;html/css;java;javascript;python;sql","elasticsearch;mongodb;mysql;postgresql","","","advertising services","chatgpt","aws codewhisperer;github copilot;tabnine","employed, full-time"
"pretoria campus","data science","i am a developer by profession","engineer, site reliability","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);go;python","dynamodb;elasticsearch;postgresql;redis","amazon web services (aws);microsoft azure","","legal services","chatgpt","aws codewhisperer;replit ghostwriter;rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, back-end","some college/university study without earning a degree","c#;html/css;python;sql","mysql","","flask;wordpress","insurance","chatgpt","aws codewhisperer;github copilot","independent contractor, freelancer, or self-employed"
"midrand campus","it","i am a developer by profession","senior executive (c-suite, vp, etc.)","bachelor’s degree (b.a., b.s., b.eng., etc.)","ruby;sql","mysql;postgresql;redis","cloudflare;digital ocean;heroku","ruby on rails","higher education","chatgpt","codeium;github copilot","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;javascript;php;powershell","mariadb;mysql;sqlite","microsoft azure","asp.net core;codeigniter;jquery","retail and consumer services","bing ai;chatgpt","synk code;tabnine","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","data science","i am a developer by profession","senior executive (c-suite, vp, etc.)","some college/university study without earning a degree","javascript;php;sql;typescript","dynamodb;elasticsearch;mariadb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;digital ocean;ovh","express;laravel;next.js;node.js;react;symfony","healthcare","chatgpt","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time"
"pretoria campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","senior executive (c-suite, vp, etc.)","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;sql","microsoft sql server","","asp.net core","advertising services","","adrenaline;aws codewhisperer;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, game or graphics","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;java;perl;python","","google cloud","laravel","financial services","chatgpt","aws codewhisperer;github copilot;mintlify;tabnine","employed, full-time"
"nelson mandela bay campus","it","i code primarily as a hobby","","something else","bash/shell (all shells);c#;go;java;javascript;kotlin;python","","cloudflare;heroku","fastapi","wholesale","chatgpt","whispr ai","student, full-time"
"pretoria campus","data science","i am a developer by profession","devops specialist","professional degree (jd, md, ph.d, ed.d, etc.)","apl;assembly;bash/shell (all shells);c;html/css;javascript;perl;sql;vba","microsoft sql server;mysql;sqlite","","","oil & gas","chatgpt","aws codewhisperer;synk code","not employed, but looking for work"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, front-end","some college/university study without earning a degree","dart;html/css;javascript;python;vba","","microsoft azure","react","information services, it, software development, or other technology","","codeium;tabnine","employed, full-time"
"nelson mandela bay campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","security professional","master’s degree (m.a., m.s., m.eng., mba, etc.)","assembly;bash/shell (all shells);c;c#;c++;go;java;javascript;php;powershell;python;rust;vba;visual basic (.net)","redis;sqlite","fly.io;heroku","","insurance","wolframalpha","aws codewhisperer;github copilot;mintlify","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);html/css;javascript;typescript","","amazon web services (aws)","angular;nestjs;node.js","retail and consumer services","","aws codewhisperer;github copilot;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;powershell;python","","","asp.net;asp.net core","advertising services","","adrenaline;aws codewhisperer;github copilot;replit ghostwriter;whispr ai","employed, full-time"
"tyger valley campus","it","i am a developer by profession","devops specialist","some college/university study without earning a degree","bash/shell (all shells);html/css;python;ruby;sql","cockroachdb;elasticsearch;influxdb;mariadb;mysql;postgresql;redis;solr;sqlite","amazon web services (aws);cloudflare;google cloud;hetzner;linode, now akamai;scaleway;vultr","nuxt.js;ruby on rails;wordpress","wholesale","chatgpt","codeium;replit ghostwriter","independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","research & development role","some college/university study without earning a degree","apl;c;c#;c++;html/css;java;javascript;powershell;python;r","firebase realtime database;mysql;oracle","digital ocean;google cloud","","information services, it, software development, or other technology","","adrenaline","employed, part-time;student, part-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);c#;dart;gdscript;go;html/css;java;javascript;lua;php;rust;sql;typescript","elasticsearch;mariadb;mysql;postgresql;redis;solr;sqlite","digital ocean;google cloud;hetzner","jquery;laravel;node.js;symfony;vue.js","higher education","bing ai;chatgpt;wolframalpha","github copilot;synk code","employed, full-time"
"nelson mandela bay campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","other (please specify):","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);groovy;perl;python","","","","oil & gas","chatgpt","aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","go","dynamodb","amazon web services (aws)","","retail and consumer services","","github copilot;replit ghostwriter","employed, full-time"
"midrand campus","it","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;c#;c++;html/css;java;javascript;matlab;php;python;sql","couch db;sqlite","","fastapi;flask;wordpress","manufacturing, transportation, or supply chain","bing ai;chatgpt","github copilot;replit ghostwriter;rubber duck.ai;tabnine","student, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;haskell;java;javascript;python;sql;typescript","elasticsearch;firebase realtime database;microsoft sql server;postgresql;sqlite","cloudflare;digital ocean","angular;asp.net;asp.net core;react;spring boot","oil & gas","chatgpt","synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);groovy;java;sql","h2;ibm db2;microsoft sql server;oracle;postgresql","amazon web services (aws)","","retail and consumer services","chatgpt","adrenaline;aws codewhisperer;github copilot","employed, part-time"
"umhlanga campus","computer science","i am a developer by profession","developer, mobile","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;javascript","cosmos db;sqlite","amazon web services (aws);microsoft azure","asp.net core;wordpress","information services, it, software development, or other technology","chatgpt","aws codewhisperer;mintlify;replit ghostwriter;synk code;tabnine","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am a developer by profession","devops specialist","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);python","","google cloud","django;flask","information services, it, software development, or other technology","chatgpt;wolframalpha","github copilot;tabnine","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, back-end","some college/university study without earning a degree","html/css;java;javascript;kotlin;sql","elasticsearch;mysql;postgresql;redis","amazon web services (aws)","next.js;react","other","chatgpt","github copilot;mintlify","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, mobile","bachelor’s degree (b.a., b.s., b.eng., etc.)","java;kotlin","sqlite","","asp.net","oil & gas","","github copilot;rubber duck.ai","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, back-end","professional degree (jd, md, ph.d, ed.d, etc.)","java;sql","mongodb;redis;solr","google cloud;heroku;netlify","spring boot","retail and consumer services","chatgpt","codeium;github copilot;replit ghostwriter;tabnine","employed, full-time"
"midrand campus","computer science","i used to be a developer by profession, but no longer am","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;typescript","postgresql","amazon web services (aws);fly.io;netlify","express;node.js;react","oil & gas","","github copilot;replit ghostwriter;whispr ai","employed, full-time"
"midrand campus","data science","i code primarily as a hobby","","primary/elementary school","c++;dart;html/css;lua;python;rust;typescript","mongodb;supabase","vercel","next.js;node.js;nuxt.js;react;solid.js;svelte;vue.js","advertising services","chatgpt","aws codewhisperer;replit ghostwriter;rubber duck.ai;tabnine","student, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","something else","c#;html/css;javascript;powershell;sql;typescript","elasticsearch;microsoft sql server;mongodb;postgresql;redis","amazon web services (aws);microsoft azure","asp.net;react;svelte","oil & gas","chatgpt","aws codewhisperer;rubber duck.ai","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;sql;typescript","cloud firestore;dynamodb;mongodb;postgresql;redis","amazon web services (aws);fly.io;google cloud;managed hosting;vercel","express;fastify;next.js;node.js;react;remix","other","chatgpt","aws codewhisperer","employed, full-time;independent contractor, freelancer, or self-employed;employed, part-time"
"umhlanga campus","data science","i am a developer by profession","data scientist or machine learning specialist","professional degree (jd, md, ph.d, ed.d, etc.)","python;ruby","postgresql;snowflake","amazon web services (aws)","ruby on rails","higher education","wolframalpha","github copilot;synk code;tabnine;whispr ai","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer experience","bachelor’s degree (b.a., b.s., b.eng., etc.)","dart;go;javascript;php;python;sql","clickhouse;elasticsearch;mariadb;mongodb;mysql;postgresql;redis","amazon web services (aws)","","information services, it, software development, or other technology","","github copilot;replit ghostwriter;rubber duck.ai;tabnine","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;php;sql","mariadb;mysql","amazon web services (aws);cloudflare;firebase;heroku","jquery;laravel;symfony;vue.js;wordpress","insurance","chatgpt;google bard ai","aws codewhisperer;mintlify","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;typescript","microsoft sql server;mongodb;postgresql","amazon web services (aws)","angular;spring boot","retail and consumer services","bing ai;chatgpt","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;sql","microsoft sql server","","jquery;node.js","legal services","google bard ai","adrenaline;github copilot;rubber duck.ai;tabnine","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, mobile","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;java;kotlin;swift","mongodb","firebase","flask","oil & gas","bing ai;chatgpt;perplexity ai;you.com","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time;student, part-time"
"tyger valley campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;c++;python;sql","microsoft sql server","","asp.net;asp.net core","other","","aws codewhisperer;replit ghostwriter;tabnine","employed, full-time"
"midrand campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);fortran;haskell;html/css;java;javascript;kotlin;powershell;prolog;python;rust;sql;typescript","couch db;firebase realtime database;influxdb;mariadb;mongodb;mysql;postgresql;sqlite","amazon web services (aws);cloudflare;firebase;google cloud","angular;express;jquery;node.js;react;spring boot;vue.js","wholesale","chatgpt","aws codewhisperer;github copilot;mintlify;tabnine","student, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;sql;typescript","","","","legal services","","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","not employed, but looking for work"
"umhlanga campus","data science","i am a developer by profession","developer, qa or test","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;java;javascript;typescript","","","angular","financial services","chatgpt","aws codewhisperer;codeium;github copilot;mintlify","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, back-end","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","javascript;php;sql","elasticsearch;mysql","amazon web services (aws)","symfony","information services, it, software development, or other technology","chatgpt;wolframalpha","aws codewhisperer;codeium;tabnine","employed, part-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;java;javascript;php;powershell;python;sql","elasticsearch;influxdb;mongodb;mysql;postgresql;redis","amazon web services (aws);firebase;google cloud;ovh","express;jquery;node.js;symfony","insurance","","github copilot","employed, full-time"
"midrand campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","data or business analyst","professional degree (jd, md, ph.d, ed.d, etc.)","c++;r;sql","oracle;snowflake","microsoft azure","","oil & gas","","codeium;github copilot;tabnine","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;powershell;python;sql","postgresql","amazon web services (aws)","asp.net core","higher education","chatgpt","codeium;github copilot","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","other (please specify):","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;java;javascript;rust","dynamodb;elasticsearch;h2;influxdb;neo4j;oracle;redis;sqlite","amazon web services (aws);fly.io;openshift","angular","healthcare","chatgpt;wolframalpha","github copilot;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;java;javascript;sql","h2;postgresql;sqlite","","angularjs;jquery;spring boot;vue.js;wordpress","advertising services","you.com","aws codewhisperer;mintlify","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, qa or test","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript;python;sql","mariadb;mongodb;mysql;postgresql","","flask;react","manufacturing, transportation, or supply chain","","github copilot;rubber duck.ai","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;java;javascript;rust;sql;typescript","microsoft sql server;mysql;postgresql;sqlite","google cloud;microsoft azure","angular;jquery;spring boot","healthcare","chatgpt","tabnine","employed, full-time"
